step,type,pos_r,pos_c,pos_dr,pos_dc
245,0,15,26,0,-1
246,0,15,25,0,-1
247,0,15,24,0,-1
248,0,15,23,0,-1
249,0,15,22,0,-1
250,0,15,21,0,-1
251,0,15,20,0,-1
252,0,15,19,0,-1
253,0,15,18,0,-1
254,0,15,17,0,-1
255,0,15,16,0,-1
256,0,15,15,0,-1
257,0,15,14,0,-1
258,0,15,13,0,-1
259,0,15,12,0,-1
260,0,15,11,0,-1
261,0,15,10,0,-1
262,0,15,9,0,-1
263,0,16,9,1,0
264,0,17,9,1,0
265,0,18,9,1,0
266,0,19,9,1,0
267,0,20,9,1,0
268,0,21,9,1,0
269,0,21,10,0,1
270,0,21,11,0,1
271,0,21,12,0,1
272,0,21,13,0,1
273,0,21,14,0,1
274,0,21,15,0,1
275,0,20,15,-1,0
276,0,19,15,-1,0
277,0,19,14,0,-1
278,0,19,13,0,-1
279,0,19,12,0,-1
280,0,19,11,0,-1
281,0,19,10,0,-1
282,0,19,9,0,-1
283,0,19,8,0,-1
284,0,19,7,0,-1
285,0,19,6,0,-1
286,0,19,5,0,-1
287,0,20,5,1,0
288,0,20,6,0,1
289,0,20,7,0,1
290,0,20,8,0,1
291,0,20,9,0,1
292,1,17,7,0,0
292,2,20,10,0,1
293,0,20,11,0,1
294,0,20,12,0,1
295,0,20,13,0,1
296,0,20,14,0,1
297,0,20,15,0,1
298,0,19,15,-1,0
299,0,18,15,-1,0
300,0,17,15,-1,0
301,0,17,14,0,-1
302,0,17,13,0,-1
303,0,17,12,0,-1
304,0,17,11,0,-1
305,0,17,10,0,-1
306,0,17,9,0,-1
307,0,17,8,0,-1
308,1,18,11,0,0
308,2,17,7,0,-1
309,0,17,6,0,-1
310,0,17,5,0,-1
311,0,17,4,0,-1
312,0,17,3,0,-1
313,0,17,2,0,-1
314,0,18,2,1,0
315,0,18,3,0,1
316,0,18,4,0,1
317,0,18,5,0,1
318,0,18,6,0,1
319,0,18,7,0,1
320,0,18,8,0,1
321,0,18,9,0,1
322,0,18,10,0,1
323,1,23,22,0,0
323,2,18,11,0,1
324,0,18,12,0,1
325,0,18,13,0,1
326,0,18,14,0,1
327,0,18,15,0,1
328,0,18,16,0,1
329,0,18,17,0,1
330,0,18,18,0,1
331,0,18,19,0,1
332,0,18,20,0,1
333,0,18,21,0,1
334,0,18,22,0,1
335,0,18,23,0,1
336,0,18,24,0,1
337,0,19,24,1,0
338,0,20,24,1,0
339,0,21,24,1,0
340,0,22,24,1,0
341,0,23,24,1,0
342,0,24,24,1,0
343,0,24,23,0,-1
344,0,24,22,0,-1
345,0,24,21,0,-1
346,0,24,20,0,-1
347,0,24,19,0,-1
348,0,24,18,0,-1
